Date,Name,Year,Letterboxd URI,Rating
2022-08-18,Black Mirror: Nosedive,2016,https://boxd.it/hK9G,4
2022-08-18,Black Mirror: Playtest,2016,https://boxd.it/hRR6,3.5
2022-08-18,Black Mirror: Shut Up and Dance,2016,https://boxd.it/hRRq,4.5
2022-08-18,Black Mirror: Men Against Fire,2016,https://boxd.it/hSBS,3
2022-08-18,Black Mirror: Hated in the Nation,2016,https://boxd.it/hSBI,3
2022-08-18,Black Mirror: USS Callister,2017,https://boxd.it/hQXi,3.5
2022-08-18,Black Mirror: Arkangel,2017,https://boxd.it/hQXW,3.5
2022-08-18,Black Mirror: Crocodile,2017,https://boxd.it/hRoS,3
2022-08-18,Black Mirror: Hang the DJ,2017,https://boxd.it/hQYA,5
2022-08-18,Black Mirror: Metalhead,2017,https://boxd.it/hRqk,3
2022-08-18,Black Mirror: Black Museum,2017,https://boxd.it/hRqu,4
2022-08-18,Black Mirror: Striking Vipers,2019,https://boxd.it/mlse,3
2022-08-18,Black Mirror: Smithereens,2019,https://boxd.it/mltc,3
2022-08-18,Logan,2017,https://boxd.it/7Piy,4.5
2022-08-18,Raw,2016,https://boxd.it/dLd2,3.5
2022-08-18,Little Miss Sunshine,2006,https://boxd.it/29EW,4.5
2022-08-18,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,4
2022-08-19,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,5
2022-08-19,Shutter Island,2010,https://boxd.it/1U82,4
2022-08-22,The Godfather,1972,https://boxd.it/2aNK,5
2022-08-22,The Godfather Part II,1974,https://boxd.it/2aNq,4.5
2022-08-22,Moana,2016,https://boxd.it/8tfY,4
2022-08-22,Napoleon Dynamite,2004,https://boxd.it/20wu,4
2022-08-22,The Northman,2022,https://boxd.it/nK2s,5
2022-08-22,Blade Runner 2049,2017,https://boxd.it/b8wK,5
2022-08-22,The Breakfast Club,1985,https://boxd.it/27q4,3.5
2022-08-22,BlacKkKlansman,2018,https://boxd.it/hxL8,4
2022-08-22,22 Jump Street,2014,https://boxd.it/5Fvy,3
2022-08-23,How to Train Your Dragon,2010,https://boxd.it/1WRy,5
2022-08-23,How to Train Your Dragon 2,2014,https://boxd.it/2TRW,4
2022-08-23,Lone Survivor,2013,https://boxd.it/5Qj4,3
2022-08-23,Upgrade,2018,https://boxd.it/i4gW,4
2022-08-23,RoboCop,2014,https://boxd.it/3m4k,2
2022-08-24,Robots,2005,https://boxd.it/1Xve,4
2022-08-24,Princess Mononoke,1997,https://boxd.it/2b4w,5
2022-08-24,Pulp Fiction,1994,https://boxd.it/29Pq,4.5
2022-08-25,Ready Player One,2018,https://boxd.it/aZes,3
2022-08-26,The Wolf of Wall Street,2013,https://boxd.it/3C1m,4.5
2022-08-27,Fight Club,1999,https://boxd.it/2a9q,4.5
2022-08-28,Crazy Rich Asians,2018,https://boxd.it/gfnK,3
2022-08-28,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A,4.5
2022-08-29,Snowden,2016,https://boxd.it/9CWO,4
2022-08-30,Blade of the Immortal,2017,https://boxd.it/f5Pi,4.5
2022-08-30,The Wailing,2016,https://boxd.it/9fLy,4.5
2022-09-01,50 First Dates,2004,https://boxd.it/285c,4
2022-09-01,Donnie Darko,2001,https://boxd.it/2b2A,5
2022-09-01,The Hunger Games,2012,https://boxd.it/2uds,4
2022-09-01,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw,4.5
2022-09-01,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo,4
2022-09-01,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,4
2022-09-02,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/29Qe,3.5
2022-09-02,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU,3.5
2022-09-04,The Descent,2005,https://boxd.it/1YNy,3
2022-09-05,Little Women,2019,https://boxd.it/aSVk,4
2022-09-06,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,4.5
2022-09-06,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/1RYu,3.5
2022-09-07,Free Guy,2021,https://boxd.it/k8dm,3.5
2022-09-07,The Man from Nowhere,2010,https://boxd.it/AZy,4.5
2022-09-07,Parasite,2019,https://boxd.it/hTha,4.5
2022-09-08,Free Solo,2018,https://boxd.it/iEEq,4.5
2022-09-08,Black Hawk Down,2001,https://boxd.it/29rI,4.5
2022-09-08,Inception,2010,https://boxd.it/1skk,5
2022-09-08,The Batman,2022,https://boxd.it/eDGs,4.5
2022-09-11,Barbarian,2022,https://boxd.it/yohi,5
2022-09-11,DodgeBall: A True Underdog Story,2004,https://boxd.it/1YAY,4
2022-09-13,The Boondock Saints,1999,https://boxd.it/20gw,4
2022-09-13,Batman Begins,2005,https://boxd.it/2aIg,4
2022-09-13,The Bourne Ultimatum,2007,https://boxd.it/26Eu,4
2022-09-13,The Dark Knight,2008,https://boxd.it/2b0k,5
2022-09-14,The Dark Knight Rises,2012,https://boxd.it/H3m,4.5
2022-09-14,Paterson,2016,https://boxd.it/cRk2,5
2022-09-15,Marriage Story,2019,https://boxd.it/hJAw,4.5
2022-09-15,Me Before You,2016,https://boxd.it/9n98,5
2022-09-19,Chronicle,2012,https://boxd.it/2Emk,4
2022-09-26,The Ring,2002,https://boxd.it/2a70,4
2022-09-27,Split,2016,https://boxd.it/dgSy,4
2022-09-28,Schindler's List,1993,https://boxd.it/2aq2,5
2022-10-02,Do Revenge,2022,https://boxd.it/sFiA,2
2022-10-04,We're the Millers,2013,https://boxd.it/4srQ,4
2022-10-04,Smile,2022,https://boxd.it/xjfE,3
2022-10-05,Sicario,2015,https://boxd.it/8i7u,4
2022-10-11,American Psycho,2000,https://boxd.it/28Vs,4.5
2022-10-11,The Departed,2006,https://boxd.it/28MA,4.5
2022-10-22,Tropic Thunder,2008,https://boxd.it/20WM,2.5
2022-10-24,Drive,2011,https://boxd.it/IG,4.5
2022-10-25,Superbad,2007,https://boxd.it/20hO,5
2022-10-27,The Nice Guys,2016,https://boxd.it/94Hg,4
2022-10-29,Prisoners,2013,https://boxd.it/4E5i,4.5
2022-11-01,Gone Girl,2014,https://boxd.it/6hQu,4
2022-11-04,The Tomorrow War,2021,https://boxd.it/lE78,2
2022-11-04,Arrival,2016,https://boxd.it/aNGk,5
2022-11-04,Spiderhead,2022,https://boxd.it/mLsO,3.5
2022-11-06,The Karate Kid,2010,https://boxd.it/15HA,4
2022-11-09,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q,3.5
2022-11-15,Weird: The Al Yankovic Story,2022,https://boxd.it/yYZA,3.5
2022-11-21,The Menu,2022,https://boxd.it/lScm,4
2022-11-21,Don't Worry Darling,2022,https://boxd.it/mViu,3
2022-11-27,Holes,2003,https://boxd.it/20mE,5
2022-12-05,Pearl,2022,https://boxd.it/zPbe,3.5
2022-12-19,Avatar: The Way of Water,2022,https://boxd.it/2E2E,4.5
2022-12-20,Brightburn,2019,https://boxd.it/jk58,3
2022-12-20,The Blind Side,2009,https://boxd.it/1zWg,3.5
2022-12-21,Memories of Murder,2003,https://boxd.it/1TSo,4.5
2022-12-22,Dallas Buyers Club,2013,https://boxd.it/4O8G,4
2022-12-24,Glass Onion,2022,https://boxd.it/oCkK,4.5
2022-12-26,GoodFellas,1990,https://boxd.it/29FA,5
2022-12-27,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,5
2022-12-27,Her,2013,https://boxd.it/4O24,5
2022-12-30,The Suicide Squad,2021,https://boxd.it/fw6O,4
2022-12-30,World War Z,2013,https://boxd.it/2p2E,4
2023-01-01,King Richard,2021,https://boxd.it/mJZ2,3.5
2023-01-01,The Accountant,2016,https://boxd.it/9EhI,3
2023-01-01,Violent Night,2022,https://boxd.it/xXBA,3
2023-01-04,Bodies Bodies Bodies,2022,https://boxd.it/iRcE,3
2023-01-05,RRR,2022,https://boxd.it/ljDs,5
2023-01-05,Amsterdam,2022,https://boxd.it/oJ58,2.5
2023-01-10,The Banshees of Inisherin,2022,https://boxd.it/p7XS,5
2023-01-17,Come and See,1985,https://boxd.it/1w9q,5
2023-01-17,Home Alone,1990,https://boxd.it/29Fg,3.5
2023-01-17,The Lion King,1994,https://boxd.it/201Q,4
2023-01-17,Joker,2019,https://boxd.it/h4cS,2
2023-01-21,I Saw the Devil,2010,https://boxd.it/FaK,5
2023-01-29,The Prestige,2006,https://boxd.it/293w,4.5
2023-02-03,21 Jump Street,2012,https://boxd.it/J0,4
2023-02-04,Bright,2017,https://boxd.it/e1H8,2
2023-02-05,Fury,2014,https://boxd.it/6JwC,4
2023-02-12,Pitch Black,2000,https://boxd.it/26iS,4
2023-02-12,The Chronicles of Riddick,2004,https://boxd.it/26iy,3.5
2023-02-18,The Shining,1980,https://boxd.it/29Nu,4.5
2023-02-18,Catch Me If You Can,2002,https://boxd.it/29VS,4.5
2023-02-18,After Yang,2021,https://boxd.it/lx5a,5
2023-02-19,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,4.5
2023-02-19,Return of the Jedi,1983,https://boxd.it/27Vm,4.5
2023-02-19,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,5
2023-02-20,The Truman Show,1998,https://boxd.it/18U8,5
2023-02-25,Se7en,1995,https://boxd.it/29zs,4.5
2023-02-25,Before Sunrise,1995,https://boxd.it/2bcU,5
2023-02-26,Before Sunset,2004,https://boxd.it/2bcg,5
2023-02-27,Before Midnight,2013,https://boxd.it/4ive,4.5
2023-03-03,The Equalizer 2,2018,https://boxd.it/bAEW,3
2023-03-03,The Equalizer,2014,https://boxd.it/4TUK,4
2023-03-04,Children of Men,2006,https://boxd.it/1Y2i,5
2023-03-06,Moonrise Kingdom,2012,https://boxd.it/2Wng,5
2023-03-11,Mad Max,1979,https://boxd.it/1Y7i,3.5
2023-03-11,Mad Max 2,1981,https://boxd.it/1ZPg,4
2023-03-11,Mad Max Beyond Thunderdome,1985,https://boxd.it/1YTm,3
2023-03-11,The Whale,2022,https://boxd.it/tw4c,2.5
2023-03-12,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,4.5
2023-03-28,John Wick: Chapter 4,2023,https://boxd.it/mh48,5
2023-03-28,Law Abiding Citizen,2009,https://boxd.it/1A2I,3
2023-03-30,Infinity Pool,2023,https://boxd.it/oPSK,4
2023-03-30,Rango,2011,https://boxd.it/QPk,4
2023-04-01,Titanic,1997,https://boxd.it/2a2k,3.5
2023-04-10,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG,4
2023-04-10,Kung Fu Panda 3,2016,https://boxd.it/4uRQ,4
2023-04-13,Project X,2012,https://boxd.it/neO,4
2023-04-15,Uncut Gems,2019,https://boxd.it/gXGc,4.5
2023-04-15,Passengers,2016,https://boxd.it/8lFu,3
2023-04-19,Jarhead,2005,https://boxd.it/70m,4
2023-04-20,Akira,1988,https://boxd.it/2b1i,5
2023-04-21,The Thing,1982,https://boxd.it/294O,5
2023-04-21,Bloodsport,1988,https://boxd.it/1Tee,3
2023-04-22,Evil Dead Rise,2023,https://boxd.it/qIvo,4
2023-04-22,TÁR,2022,https://boxd.it/uNIA,4.5
2023-04-22,Aftersun,2022,https://boxd.it/Arw0,5
2023-04-23,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,4.5
2023-04-25,The One,2001,https://boxd.it/1Vni,4
2023-04-28,Alien,1979,https://boxd.it/2awY,4
2023-04-28,Nerve,2016,https://boxd.it/aJIc,4
2023-04-28,Training Day,2001,https://boxd.it/27A4,4.5
2023-04-30,School of Rock,2003,https://boxd.it/28xK,4
2023-05-05,La Haine,1995,https://boxd.it/2as8,4
2023-05-05,Nightcrawler,2014,https://boxd.it/780m,5
2023-05-05,There Will Be Blood,2007,https://boxd.it/20Z2,4.5
2023-05-06,Reservoir Dogs,1992,https://boxd.it/2agc,4.5
2023-05-07,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,4.5
2023-05-19,The Raid,2011,https://boxd.it/3hBy,5
2023-05-22,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,4
2023-05-28,Lake Mungo,2008,https://boxd.it/1rWM,5
2023-06-09,Dungeons & Dragons: Honor Among Thieves,2023,https://boxd.it/hN1A,3
2023-06-09,The Royal Tenenbaums,2001,https://boxd.it/1YHU,5
